model,noise,intensity,scenario,population,accuracy,precision_macro,recall_macro,f1_macro,rows
KNN,missing,0.1,missing-10,intact,0.9002478155712781,0.7005539763416054,0.7076640517381382,0.6076398825631968,2921931
KNN,missing,0.1,missing-10,corrupted,0.8313204769253041,0.055421365128353606,0.06666666666666667,0.060526123992675845,324663
SVM,missing,0.1,missing-10,intact,0.9162793371917407,0.605500368295751,0.3557229623250104,0.38686938634012935,2921931
SVM,missing,0.1,missing-10,corrupted,0.8313204769253041,0.055421365128353606,0.06666666666666667,0.060526123992675845,324663
Random Forest,missing,0.1,missing-10,intact,0.8309665765550247,0.29253435438649433,0.09832606632802267,0.10176359784583476,2921931
Random Forest,missing,0.1,missing-10,corrupted,0.8313204769253041,0.055421365128353606,0.06666666666666667,0.060526123992675845,324663
Softmax,missing,0.1,missing-10,intact,0.888841317608116,0.47363066566428763,0.427022869399032,0.38915522654408347,2921931
Softmax,missing,0.1,missing-10,corrupted,0.8313204769253041,0.055421365128353606,0.06666666666666667,0.060526123992675845,324663
XGBoost,missing,0.1,missing-10,intact,0.8453389214187467,0.45939120521401794,0.24179078079646507,0.26494543464637677,2921931
XGBoost,missing,0.1,missing-10,corrupted,0.8313204769253041,0.055421365128353606,0.06666666666666667,0.060526123992675845,324663
KNN,missing,0.2,missing-20,intact,0.9003058591430861,0.7015240620823803,0.7069078750260677,0.6150795970181486,2597274
KNN,missing,0.2,missing-20,corrupted,0.8304965194357173,0.05536643462904782,0.06666666666666667,0.06049335143900246,649320
SVM,missing,0.2,missing-20,intact,0.9162910805713991,0.609151451980418,0.35515776528468995,0.3866702486601149,2597274
SVM,missing,0.2,missing-20,corrupted,0.8304965194357173,0.05536643462904782,0.06666666666666667,0.06049335143900246,649320
Random Forest,missing,0.2,missing-20,intact,0.8310921373717213,0.2932682941012414,0.09994740351861625,0.10320114551003298,2597274
Random Forest,missing,0.2,missing-20,corrupted,0.8304965194357173,0.05536643462904782,0.06666666666666667,0.06049335143900246,649320
Softmax,missing,0.2,missing-20,intact,0.888852312077971,0.4696332963751073,0.4277541105778531,0.3884523962837701,2597274
Softmax,missing,0.2,missing-20,corrupted,0.8304965194357173,0.05536643462904782,0.06666666666666667,0.06049335143900246,649320
XGBoost,missing,0.2,missing-20,intact,0.8455172615596198,0.46352645453684,0.24510724290546543,0.26769257061352114,2597274
